S.N,Date,Design_No,Current_Stock,Tile_Name,Category,Brand,Size,Min_Stock,Max_Stock,Unit_Price,Status,Total_Value,Last_Updated
52.0,01-04-2025,21128,39.0,21128,Uncategorized,Generic,,10,100,0.0,Active,0.0,
53.0,01-04-2025,219- PARK.TILES - 16*16,10.0,219- PARK.TILES - 16*16,Uncategorized,Generic,,10,100,0.0,Active,0.0,
54.0,01-04-2025,224 KT-1,5.0,224 KT-1,Uncategorized,Generic,,10,100,0.0,Active,0.0,
55.0,01-04-2025,224 KT-2,5.0,224 KT-2,Uncategorized,Generic,,10,100,0.0,Active,0.0,
56.0,01-04-2025,2289 -WALL TILES- 12*18 (D),4.0,2289 -WALL TILES- 12*18 (D),Uncategorized,Generic,,10,100,0.0,Active,0.0,
57.0,01-04-2025,2289 -WALL TILES- 12*18 (HL-1),2.0,2289 -WALL TILES- 12*18 (HL-1),Uncategorized,Generic,,10,100,0.0,Active,0.0,
58.0,01-04-2025,2289 -WALL TILES- 12*18 (HL-2),6.0,2289 -WALL TILES- 12*18 (HL-2),Uncategorized,Generic,,10,100,0.0,Active,0.0,
59.0,01-04-2025,2289 -WALL TILES- 12*18 (L),19.0,2289 -WALL TILES- 12*18 (L),Uncategorized,Generic,,10,100,0.0,Active,0.0,
60.0,01-04-2025,2336 -WALL TILES- 12*18 (HL-3),9.0,2336 -WALL TILES- 12*18 (HL-3),Uncategorized,Generic,,10,100,0.0,Active,0.0,
61.0,01-04-2025,2336 -WALL TILES- 12*18 (HL-5),5.0,2336 -WALL TILES- 12*18 (HL-5),Uncategorized,Generic,,10,100,0.0,Active,0.0,
62.0,01-04-2025,24025,1.0,24025,Uncategorized,Generic,,10,100,0.0,Active,0.0,
63.0,01-04-2025,24027,16.0,24027,Uncategorized,Generic,,10,100,0.0,Active,0.0,
64.0,01-04-2025,24095,1.0,24095,Uncategorized,Generic,,10,100,0.0,Active,0.0,
65.0,01-04-2025,24171,12.0,24171,Uncategorized,Generic,,10,100,0.0,Active,0.0,
66.0,01-04-2025,24186,27.0,24186,Uncategorized,Generic,,10,100,0.0,Active,0.0,
67.0,01-04-2025,24771,39.0,24771,Uncategorized,Generic,,10,100,0.0,Active,0.0,
68.0,01-04-2025,2478 -WALL TILES- 12*18 (D),23.0,2478 -WALL TILES- 12*18 (D),Uncategorized,Generic,,10,100,0.0,Active,0.0,
69.0,01-04-2025,2478 -WALL TILES- 12*18 (F),2.0,2478 -WALL TILES- 12*18 (F),Uncategorized,Generic,,10,100,0.0,Active,0.0,
70.0,01-04-2025,2480 -WALL TILES- 12*18 (D),13.0,2480 -WALL TILES- 12*18 (D),Uncategorized,Generic,,10,100,0.0,Active,0.0,
71.0,01-04-2025,24958,1.0,24958,Uncategorized,Generic,,10,100,0.0,Active,0.0,
72.0,01-04-2025,2505  - L,1.0,2505  - L,Uncategorized,Generic,,10,100,0.0,Active,0.0,
73.0,01-04-2025,25074,10.0,25074,Uncategorized,Generic,,10,100,0.0,Active,0.0,
74.0,01-04-2025,25075 2X2 PRE.,3.0,25075 2X2 PRE.,Uncategorized,Generic,,10,100,0.0,Active,0.0,
75.0,01-04-2025,25122 2X2 PRE.,2.0,25122 2X2 PRE.,Uncategorized,Generic,,10,100,0.0,Active,0.0,
76.0,01-04-2025,25168 2X2 PRE.,5.0,25168 2X2 PRE.,Uncategorized,Generic,,10,100,0.0,Active,0.0,
77.0,01-04-2025,25216,19.0,25216,Uncategorized,Generic,,10,100,0.0,Active,0.0,
78.0,01-04-2025,26001,1.0,26001,Uncategorized,Generic,,10,100,0.0,Active,0.0,
79.0,01-04-2025,26015,51.0,26015,Uncategorized,Generic,,10,100,0.0,Active,0.0,
80.0,01-04-2025,294 - D SECOORA,50.0,294 - D SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
81.0,01-04-2025,294 - F SECOORA,48.0,294 - F SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
82.0,01-04-2025,294 - HL-2 SECOORA,23.0,294 - HL-2 SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
83.0,01-04-2025,294 - L SECOORA,8.0,294 - L SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
84.0,01-04-2025,3001 Grite 2x4,16.0,3001 Grite 2x4,Uncategorized,Generic,,10,100,0.0,Active,0.0,
85.0,01-04-2025,3004,102.0,3004,Uncategorized,Generic,,10,100,0.0,Active,0.0,
86.0,01-04-2025,3008,76.0,3008,Uncategorized,Generic,,10,100,0.0,Active,0.0,
87.0,01-04-2025,3025 D,1.0,3025 D,Uncategorized,Generic,,10,100,0.0,Active,0.0,
88.0,01-04-2025,3025 HL-1,17.0,3025 HL-1,Uncategorized,Generic,,10,100,0.0,Active,0.0,
89.0,01-04-2025,3025 HL-2,17.0,3025 HL-2,Uncategorized,Generic,,10,100,0.0,Active,0.0,
90.0,01-04-2025,3025 L,50.0,3025 L,Uncategorized,Generic,,10,100,0.0,Active,0.0,
91.0,01-04-2025,3035 D,49.0,3035 D,Uncategorized,Generic,,10,100,0.0,Active,0.0,
92.0,01-04-2025,3035 HL-1,24.0,3035 HL-1,Uncategorized,Generic,,10,100,0.0,Active,0.0,
93.0,01-04-2025,3035 HL-2,20.0,3035 HL-2,Uncategorized,Generic,,10,100,0.0,Active,0.0,
94.0,01-04-2025,3035 L,50.0,3035 L,Uncategorized,Generic,,10,100,0.0,Active,0.0,
95.0,01-04-2025,3042 -WALL TILES- 12*18 (F),22.0,3042 -WALL TILES- 12*18 (F),Uncategorized,Generic,,10,100,0.0,Active,0.0,
96.0,01-04-2025,3050 -WALL TILES- 12*18 (D),86.0,3050 -WALL TILES- 12*18 (D),Uncategorized,Generic,,10,100,0.0,Active,0.0,
97.0,01-04-2025,3050 -WALL TILES- 12*18 (HL-1),2.0,3050 -WALL TILES- 12*18 (HL-1),Uncategorized,Generic,,10,100,0.0,Active,0.0,
98.0,01-04-2025,3050 -WALL TILES- 12*18 (L),84.0,3050 -WALL TILES- 12*18 (L),Uncategorized,Generic,,10,100,0.0,Active,0.0,
99.0,01-04-2025,3051 -WALL TILES- 12*18 (F),2.0,3051 -WALL TILES- 12*18 (F),Uncategorized,Generic,,10,100,0.0,Active,0.0,
