S.N,Date,Design_No,Current_Stock,Tile_Name,Category,Brand,Size,Min_Stock,Max_Stock,Unit_Price,Status,Total_Value,Last_Updated
209.0,01-04-2025,600*600 D.Charge Simanto Glaxy Red,11.0,600*600 D.Charge Simanto Glaxy Red,Uncategorized,Generic,,10,100,0.0,Active,0.0,
210.0,01-04-2025,600*600 D.Charge Simanto Glaxy Sandi,1.0,600*600 D.Charge Simanto Glaxy Sandi,Uncategorized,Generic,,10,100,0.0,Active,0.0,
211.0,01-04-2025,600*600 D.Charge Simanto Glaxy White,3.0,600*600 D.Charge Simanto Glaxy White,Uncategorized,Generic,,10,100,0.0,Active,0.0,
212.0,01-04-2025,6017,1.0,6017,Uncategorized,Generic,,10,100,0.0,Active,0.0,
213.0,01-04-2025,6020 Mate,35.0,6020 Mate,Uncategorized,Generic,,10,100,0.0,Active,0.0,
214.0,01-04-2025,6044,8.0,6044,Uncategorized,Generic,,10,100,0.0,Active,0.0,
215.0,01-04-2025,6050 Emala Grey,2.0,6050 Emala Grey,Uncategorized,Generic,,10,100,0.0,Active,0.0,
216.0,01-04-2025,6053,77.0,6053,Uncategorized,Generic,,10,100,0.0,Active,0.0,
217.0,01-04-2025,6072,89.0,6072,Uncategorized,Generic,,10,100,0.0,Active,0.0,
218.0,01-04-2025,6073,22.0,6073,Uncategorized,Generic,,10,100,0.0,Active,0.0,
219.0,01-04-2025,6078,91.0,6078,Uncategorized,Generic,,10,100,0.0,Active,0.0,
220.0,01-04-2025,6084,26.0,6084,Uncategorized,Generic,,10,100,0.0,Active,0.0,
221.0,01-04-2025,6094,104.0,6094,Uncategorized,Generic,,10,100,0.0,Active,0.0,
222.0,01-04-2025,6100,54.0,6100,Uncategorized,Generic,,10,100,0.0,Active,0.0,
223.0,01-04-2025,6123,45.0,6123,Uncategorized,Generic,,10,100,0.0,Active,0.0,
224.0,01-04-2025,6187 - GVT - 24*24,65.0,6187 - GVT - 24*24,Uncategorized,Generic,,10,100,0.0,Active,0.0,
225.0,01-04-2025,6518,9.0,6518,Uncategorized,Generic,,10,100,0.0,Active,0.0,
226.0,01-04-2025,6531 - D,3.0,6531 - D,Uncategorized,Generic,,10,100,0.0,Active,0.0,
227.0,01-04-2025,6531 - F,23.0,6531 - F,Uncategorized,Generic,,10,100,0.0,Active,0.0,
228.0,01-04-2025,6531 - L,7.0,6531 - L,Uncategorized,Generic,,10,100,0.0,Active,0.0,
229.0,01-04-2025,6539,115.0,6539,Uncategorized,Generic,,10,100,0.0,Active,0.0,
230.0,01-04-2025,7008,118.0,7008,Uncategorized,Generic,,10,100,0.0,Active,0.0,
231.0,01-04-2025,7012,81.0,7012,Uncategorized,Generic,,10,100,0.0,Active,0.0,
232.0,01-04-2025,7024,11.0,7024,Uncategorized,Generic,,10,100,0.0,Active,0.0,
233.0,01-04-2025,7036,35.0,7036,Uncategorized,Generic,,10,100,0.0,Active,0.0,
234.0,01-04-2025,7065,39.0,7065,Uncategorized,Generic,,10,100,0.0,Active,0.0,
235.0,01-04-2025,7067,4.0,7067,Uncategorized,Generic,,10,100,0.0,Active,0.0,
236.0,01-04-2025,7076,100.0,7076,Uncategorized,Generic,,10,100,0.0,Active,0.0,
237.0,01-04-2025,7086,34.0,7086,Uncategorized,Generic,,10,100,0.0,Active,0.0,
238.0,01-04-2025,7104,75.0,7104,Uncategorized,Generic,,10,100,0.0,Active,0.0,
239.0,01-04-2025,7114- PARK.TILES- 16*16,21.0,7114- PARK.TILES- 16*16,Uncategorized,Generic,,10,100,0.0,Active,0.0,
240.0,01-04-2025,7139,121.0,7139,Uncategorized,Generic,,10,100,0.0,Active,0.0,
241.0,01-04-2025,7167,65.0,7167,Uncategorized,Generic,,10,100,0.0,Active,0.0,
242.0,01-04-2025,7252 -WALL TILES- 12*18 (L),1.0,7252 -WALL TILES- 12*18 (L),Uncategorized,Generic,,10,100,0.0,Active,0.0,
243.0,01-04-2025,7298 -WALL TILES- 12*18 (D),4.0,7298 -WALL TILES- 12*18 (D),Uncategorized,Generic,,10,100,0.0,Active,0.0,
244.0,01-04-2025,7298 -WALL TILES- 12*18 (HL-1),10.0,7298 -WALL TILES- 12*18 (HL-1),Uncategorized,Generic,,10,100,0.0,Active,0.0,
245.0,01-04-2025,7298 -WALL TILES- 12*18 (L),4.0,7298 -WALL TILES- 12*18 (L),Uncategorized,Generic,,10,100,0.0,Active,0.0,
246.0,01-04-2025,7592 24*24,30.0,7592 24*24,Uncategorized,Generic,,10,100,0.0,Active,0.0,
247.0,01-04-2025,7685 24*24,5.0,7685 24*24,Uncategorized,Generic,,10,100,0.0,Active,0.0,
248.0,01-04-2025,8001,108.0,8001,Uncategorized,Generic,,10,100,0.0,Active,0.0,
249.0,01-04-2025,8004,44.0,8004,Uncategorized,Generic,,10,100,0.0,Active,0.0,
250.0,01-04-2025,8007,2.0,8007,Uncategorized,Generic,,10,100,0.0,Active,0.0,
251.0,01-04-2025,8008 NANO VITRIFIED PRE.,13.0,8008 NANO VITRIFIED PRE.,Uncategorized,Generic,,10,100,0.0,Active,0.0,
252.0,01-04-2025,8010,52.0,8010,Uncategorized,Generic,,10,100,0.0,Active,0.0,
253.0,01-04-2025,8013,6.0,8013,Uncategorized,Generic,,10,100,0.0,Active,0.0,
254.0,01-04-2025,8014,127.0,8014,Uncategorized,Generic,,10,100,0.0,Active,0.0,
255.0,01-04-2025,8016,16.0,8016,Uncategorized,Generic,,10,100,0.0,Active,0.0,
256.0,01-04-2025,8016 NANO VITRIFIED STD.,5.0,8016 NANO VITRIFIED STD.,Uncategorized,Generic,,10,100,0.0,Active,0.0,
257.0,01-04-2025,8018,3.0,8018,Uncategorized,Generic,,10,100,0.0,Active,0.0,
258.0,01-04-2025,8021 24*24,30.0,8021 24*24,Uncategorized,Generic,,10,100,0.0,Active,0.0,
259.0,01-04-2025,8024,2.0,8024,Uncategorized,Generic,,10,100,0.0,Active,0.0,
260.0,01-04-2025,8028 - D,114.0,8028 - D,Uncategorized,Generic,,10,100,0.0,Active,0.0,
261.0,01-04-2025,8028 - F,27.0,8028 - F,Uncategorized,Generic,,10,100,0.0,Active,0.0,
262.0,01-04-2025,8028 - HL1A,9.0,8028 - HL1A,Uncategorized,Generic,,10,100,0.0,Active,0.0,
263.0,01-04-2025,8028 - HL1B,2.0,8028 - HL1B,Uncategorized,Generic,,10,100,0.0,Active,0.0,
264.0,01-04-2025,8028 - L,35.0,8028 - L,Uncategorized,Generic,,10,100,0.0,Active,0.0,
265.0,01-04-2025,8032,3.0,8032,Uncategorized,Generic,,10,100,0.0,Active,0.0,
266.0,01-04-2025,8032 2x2,39.0,8032 2x2,Uncategorized,Generic,,10,100,0.0,Active,0.0,
267.0,01-04-2025,8039,2.0,8039,Uncategorized,Generic,,10,100,0.0,Active,0.0,
268.0,01-04-2025,8042,80.0,8042,Uncategorized,Generic,,10,100,0.0,Active,0.0,
269.0,01-04-2025,8043,1.0,8043,Uncategorized,Generic,,10,100,0.0,Active,0.0,
270.0,01-04-2025,804 Glossy,139.0,804 Glossy,Uncategorized,Generic,,10,100,0.0,Active,0.0,
271.0,01-04-2025,8076 -PGVT- 24*24,42.0,8076 -PGVT- 24*24,Uncategorized,Generic,,10,100,0.0,Active,0.0,
272.0,01-04-2025,8081,3.0,8081,Uncategorized,Generic,,10,100,0.0,Active,0.0,
273.0,01-04-2025,8091,66.0,8091,Uncategorized,Generic,,10,100,0.0,Active,0.0,
274.0,01-04-2025,8094,112.0,8094,Uncategorized,Generic,,10,100,0.0,Active,0.0,
275.0,01-04-2025,8099,122.0,8099,Uncategorized,Generic,,10,100,0.0,Active,0.0,
276.0,01-04-2025,8110 F,31.0,8110 F,Uncategorized,Generic,,10,100,0.0,Active,0.0,
277.0,01-04-2025,8110 HL-1,37.0,8110 HL-1,Uncategorized,Generic,,10,100,0.0,Active,0.0,
278.0,01-04-2025,8110 L,1.0,8110 L,Uncategorized,Generic,,10,100,0.0,Active,0.0,
279.0,01-04-2025,8114 F,12.0,8114 F,Uncategorized,Generic,,10,100,0.0,Active,0.0,
280.0,01-04-2025,8114 HL-1,31.0,8114 HL-1,Uncategorized,Generic,,10,100,0.0,Active,0.0,
281.0,01-04-2025,8114 L,105.0,8114 L,Uncategorized,Generic,,10,100,0.0,Active,0.0,
282.0,01-04-2025,8124 D,52.0,8124 D,Uncategorized,Generic,,10,100,0.0,Active,0.0,
283.0,01-04-2025,8124 F,56.0,8124 F,Uncategorized,Generic,,10,100,0.0,Active,0.0,
284.0,01-04-2025,8124 Hl-1,84.0,8124 Hl-1,Uncategorized,Generic,,10,100,0.0,Active,0.0,
285.0,01-04-2025,8124 L,104.0,8124 L,Uncategorized,Generic,,10,100,0.0,Active,0.0,
286.0,01-04-2025,8131 F,53.0,8131 F,Uncategorized,Generic,,10,100,0.0,Active,0.0,
287.0,01-04-2025,8131 HL-1,4.0,8131 HL-1,Uncategorized,Generic,,10,100,0.0,Active,0.0,
288.0,01-04-2025,8131 L,127.0,8131 L,Uncategorized,Generic,,10,100,0.0,Active,0.0,
289.0,01-04-2025,8157 D,3.0,8157 D,Uncategorized,Generic,,10,100,0.0,Active,0.0,
290.0,01-04-2025,8157 F,12.0,8157 F,Uncategorized,Generic,,10,100,0.0,Active,0.0,
291.0,01-04-2025,8157 HL-1,72.0,8157 HL-1,Uncategorized,Generic,,10,100,0.0,Active,0.0,
292.0,01-04-2025,8157 L,90.0,8157 L,Uncategorized,Generic,,10,100,0.0,Active,0.0,
293.0,01-04-2025,8400 D,75.0,8400 D,Uncategorized,Generic,,10,100,0.0,Active,0.0,
294.0,01-04-2025,8400 KT-2,19.0,8400 KT-2,Uncategorized,Generic,,10,100,0.0,Active,0.0,
295.0,01-04-2025,8400 KT-3,14.0,8400 KT-3,Uncategorized,Generic,,10,100,0.0,Active,0.0,
296.0,01-04-2025,8400 L,115.0,8400 L,Uncategorized,Generic,,10,100,0.0,Active,0.0,
297.0,01-04-2025,8481 D,101.0,8481 D,Uncategorized,Generic,,10,100,0.0,Active,0.0,
298.0,01-04-2025,8481 F,51.0,8481 F,Uncategorized,Generic,,10,100,0.0,Active,0.0,
299.0,01-04-2025,8481 Hl-1,102.0,8481 Hl-1,Uncategorized,Generic,,10,100,0.0,Active,0.0,
300.0,01-04-2025,8481 L,102.0,8481 L,Uncategorized,Generic,,10,100,0.0,Active,0.0,
301.0,01-04-2025,8502 D,111.0,8502 D,Uncategorized,Generic,,10,100,0.0,Active,0.0,
302.0,01-04-2025,8502 F,70.0,8502 F,Uncategorized,Generic,,10,100,0.0,Active,0.0,
303.0,01-04-2025,8502 HL-1,101.0,8502 HL-1,Uncategorized,Generic,,10,100,0.0,Active,0.0,
304.0,01-04-2025,8502 L,98.0,8502 L,Uncategorized,Generic,,10,100,0.0,Active,0.0,
305.0,01-04-2025,8503 D,103.0,8503 D,Uncategorized,Generic,,10,100,0.0,Active,0.0,
306.0,01-04-2025,8503 F,91.0,8503 F,Uncategorized,Generic,,10,100,0.0,Active,0.0,
307.0,01-04-2025,8503 HL-1,167.0,8503 HL-1,Uncategorized,Generic,,10,100,0.0,Active,0.0,
308.0,01-04-2025,8503 L,90.0,8503 L,Uncategorized,Generic,,10,100,0.0,Active,0.0,
309.0,01-04-2025,8536,3.0,8536,Uncategorized,Generic,,10,100,0.0,Active,0.0,
310.0,01-04-2025,9047 -WALL TILES- 12*18 (D),8.0,9047 -WALL TILES- 12*18 (D),Uncategorized,Generic,,10,100,0.0,Active,0.0,
311.0,01-04-2025,9055 - L,2.0,9055 - L,Uncategorized,Generic,,10,100,0.0,Active,0.0,
312.0,01-04-2025,9062 - D,57.0,9062 - D,Uncategorized,Generic,,10,100,0.0,Active,0.0,
313.0,01-04-2025,9062 - KT-1,32.0,9062 - KT-1,Uncategorized,Generic,,10,100,0.0,Active,0.0,
314.0,01-04-2025,9062 - KT-2,32.0,9062 - KT-2,Uncategorized,Generic,,10,100,0.0,Active,0.0,
315.0,01-04-2025,9062 - L,76.0,9062 - L,Uncategorized,Generic,,10,100,0.0,Active,0.0,
316.0,01-04-2025,Adage Silver End 2*4 - Pre,6.0,Adage Silver End 2*4 - Pre,Uncategorized,Generic,,10,100,0.0,Active,0.0,
317.0,01-04-2025,Almord Dc,100.0,Almord Dc,Uncategorized,Generic,,10,100,0.0,Active,0.0,
318.0,01-04-2025,AMAZON CHOCO,2.0,AMAZON CHOCO,Uncategorized,Generic,,10,100,0.0,Active,0.0,
319.0,01-04-2025,AMAZON NERO,15.0,AMAZON NERO,Uncategorized,Generic,,10,100,0.0,Active,0.0,
320.0,01-04-2025,AMONZA BLUE -PGVT- 24*24 - PRE.,27.0,AMONZA BLUE -PGVT- 24*24 - PRE.,Uncategorized,Generic,,10,100,0.0,Active,0.0,
321.0,01-04-2025,AQUA BLUE GOLD 2X4,11.0,AQUA BLUE GOLD 2X4,Uncategorized,Generic,,10,100,0.0,Active,0.0,
322.0,01-04-2025,ART ASIA  -2460- 12*12 (F),1.0,ART ASIA  -2460- 12*12 (F),Uncategorized,Generic,,10,100,0.0,Active,0.0,
323.0,01-04-2025,ART ASIA -8016- F,6.0,ART ASIA -8016- F,Uncategorized,Generic,,10,100,0.0,Active,0.0,
324.0,01-04-2025,ART ASIA -8016- HL-1,25.0,ART ASIA -8016- HL-1,Uncategorized,Generic,,10,100,0.0,Active,0.0,
325.0,01-04-2025,ART ASIA - DC-111- 12*12 (F),14.0,ART ASIA - DC-111- 12*12 (F),Uncategorized,Generic,,10,100,0.0,Active,0.0,
326.0,01-04-2025,ART ASIA - DC-116- 12*12 (F),3.0,ART ASIA - DC-116- 12*12 (F),Uncategorized,Generic,,10,100,0.0,Active,0.0,
327.0,01-04-2025,ART ASIA WALL TILES - 2144 (D),1.0,ART ASIA WALL TILES - 2144 (D),Uncategorized,Generic,,10,100,0.0,Active,0.0,
328.0,01-04-2025,ART ASIA WALL TILES  - 2144 (F),46.0,ART ASIA WALL TILES  - 2144 (F),Uncategorized,Generic,,10,100,0.0,Active,0.0,
329.0,01-04-2025,ART ASIA WALL TILES -  2144 (HL-1),20.0,ART ASIA WALL TILES -  2144 (HL-1),Uncategorized,Generic,,10,100,0.0,Active,0.0,
330.0,01-04-2025,ART ASIA WALL TILES - 2144 (L),1.0,ART ASIA WALL TILES - 2144 (L),Uncategorized,Generic,,10,100,0.0,Active,0.0,
331.0,01-04-2025,ART ASIA WALL TILES-2184- 12*18 (HL-2),2.0,ART ASIA WALL TILES-2184- 12*18 (HL-2),Uncategorized,Generic,,10,100,0.0,Active,0.0,
332.0,01-04-2025,ART ASIA WALL TILES - 2436 (F),12.0,ART ASIA WALL TILES - 2436 (F),Uncategorized,Generic,,10,100,0.0,Active,0.0,
333.0,01-04-2025,ART ASIA WALL TILES -2436 (L),12.0,ART ASIA WALL TILES -2436 (L),Uncategorized,Generic,,10,100,0.0,Active,0.0,
334.0,01-04-2025,ART ASIA WALL TILES-2460- 12*18 (D),1.0,ART ASIA WALL TILES-2460- 12*18 (D),Uncategorized,Generic,,10,100,0.0,Active,0.0,
335.0,01-04-2025,ART ASIA WALL TILES-2460- 12*18 (HL-1),6.0,ART ASIA WALL TILES-2460- 12*18 (HL-1),Uncategorized,Generic,,10,100,0.0,Active,0.0,
336.0,01-04-2025,ART ASIA WALL TILES-2460- 12*18 (L),1.0,ART ASIA WALL TILES-2460- 12*18 (L),Uncategorized,Generic,,10,100,0.0,Active,0.0,
337.0,01-04-2025,ART ASIA WALL TILES-3045- 12*18 (D),3.0,ART ASIA WALL TILES-3045- 12*18 (D),Uncategorized,Generic,,10,100,0.0,Active,0.0,
338.0,01-04-2025,ART ASIA WALL TILES-3045- 12*18 (HL-1),18.0,ART ASIA WALL TILES-3045- 12*18 (HL-1),Uncategorized,Generic,,10,100,0.0,Active,0.0,
339.0,01-04-2025,ART ASIA WALL TILES-3045- 12*18 (L),105.0,ART ASIA WALL TILES-3045- 12*18 (L),Uncategorized,Generic,,10,100,0.0,Active,0.0,
340.0,01-04-2025,ART ASIA WALL TILES-3066- 12*18 (HL-2),4.0,ART ASIA WALL TILES-3066- 12*18 (HL-2),Uncategorized,Generic,,10,100,0.0,Active,0.0,
341.0,01-04-2025,ART ASIA WALL TILES-3066- 12*18 (L),7.0,ART ASIA WALL TILES-3066- 12*18 (L),Uncategorized,Generic,,10,100,0.0,Active,0.0,
342.0,01-04-2025,ART ASIA WALL TILES-3080- 12*18 (D),48.0,ART ASIA WALL TILES-3080- 12*18 (D),Uncategorized,Generic,,10,100,0.0,Active,0.0,
343.0,01-04-2025,ART ASIA WALL TILES-3080- 12*18 (L),2.0,ART ASIA WALL TILES-3080- 12*18 (L),Uncategorized,Generic,,10,100,0.0,Active,0.0,
344.0,01-04-2025,ART ASIA WALL TILES-3089- 12*18 (D),24.0,ART ASIA WALL TILES-3089- 12*18 (D),Uncategorized,Generic,,10,100,0.0,Active,0.0,
345.0,01-04-2025,ART ASIA WALL TILES-3089- 12*18 (HL-1),22.0,ART ASIA WALL TILES-3089- 12*18 (HL-1),Uncategorized,Generic,,10,100,0.0,Active,0.0,
346.0,01-04-2025,ART ASIA WALL TILES-3089- 12*18 (HL-2),20.0,ART ASIA WALL TILES-3089- 12*18 (HL-2),Uncategorized,Generic,,10,100,0.0,Active,0.0,
347.0,01-04-2025,ART ASIA WALL TILES - 3102 (D),2.0,ART ASIA WALL TILES - 3102 (D),Uncategorized,Generic,,10,100,0.0,Active,0.0,
348.0,01-04-2025,ART ASIA WALL TILES - 7042 (E),3.0,ART ASIA WALL TILES - 7042 (E),Uncategorized,Generic,,10,100,0.0,Active,0.0,
349.0,01-04-2025,ART ASIA WALL TILES-DC-110- 12*18 (D),8.0,ART ASIA WALL TILES-DC-110- 12*18 (D),Uncategorized,Generic,,10,100,0.0,Active,0.0,
350.0,01-04-2025,ART ASIA WALL TILES-DC-110- 12*18 (HL-1),1.0,ART ASIA WALL TILES-DC-110- 12*18 (HL-1),Uncategorized,Generic,,10,100,0.0,Active,0.0,
351.0,01-04-2025,ART ASIA WALL TILES-DC-110- 12*18 (L),13.0,ART ASIA WALL TILES-DC-110- 12*18 (L),Uncategorized,Generic,,10,100,0.0,Active,0.0,
352.0,01-04-2025,ART ASIA WALL TILES-DC-116- 12*18 (D),8.0,ART ASIA WALL TILES-DC-116- 12*18 (D),Uncategorized,Generic,,10,100,0.0,Active,0.0,
353.0,01-04-2025,ART ASIA WALL TILES-DC-116- 12*18 (HL-1),27.0,ART ASIA WALL TILES-DC-116- 12*18 (HL-1),Uncategorized,Generic,,10,100,0.0,Active,0.0,
354.0,01-04-2025,ART ASIA WALL TILES-DC-116- 12*18 (L),8.0,ART ASIA WALL TILES-DC-116- 12*18 (L),Uncategorized,Generic,,10,100,0.0,Active,0.0,
355.0,01-04-2025,Ash Dc,93.0,Ash Dc,Uncategorized,Generic,,10,100,0.0,Active,0.0,
356.0,01-04-2025,BASKIN WHITE - PGVT- 24*24- PRE.,43.0,BASKIN WHITE - PGVT- 24*24- PRE.,Uncategorized,Generic,,10,100,0.0,Active,0.0,
357.0,01-04-2025,BLACK,23.0,BLACK,Uncategorized,Generic,,10,100,0.0,Active,0.0,
358.0,01-04-2025,Black Dc,31.0,Black Dc,Uncategorized,Generic,,10,100,0.0,Active,0.0,
359.0,01-04-2025,BLACK ROSE SUPER HG 2X4 PRE,1.0,BLACK ROSE SUPER HG 2X4 PRE,Uncategorized,Generic,,10,100,0.0,Active,0.0,
360.0,01-04-2025,BLESSAN WHITE -PGVT- 24*48,42.0,BLESSAN WHITE -PGVT- 24*48,Uncategorized,Generic,,10,100,0.0,Active,0.0,
361.0,01-04-2025,Brilliant White 2x4,10.0,Brilliant White 2x4,Uncategorized,Generic,,10,100,0.0,Active,0.0,
362.0,01-04-2025,BRILLO IVORY GOLD,5.0,BRILLO IVORY GOLD,Uncategorized,Generic,,10,100,0.0,Active,0.0,
363.0,01-04-2025,BULGARI GREY 2X4,3.0,BULGARI GREY 2X4,Uncategorized,Generic,,10,100,0.0,Active,0.0,
364.0,01-04-2025,CARDIO WHITE 16X16 PRE,5.0,CARDIO WHITE 16X16 PRE,Uncategorized,Generic,,10,100,0.0,Active,0.0,
365.0,01-04-2025,CASTAL WHITE 2X4 PRE,15.0,CASTAL WHITE 2X4 PRE,Uncategorized,Generic,,10,100,0.0,Active,0.0,
366.0,01-04-2025,Cava 101 No.,3.0,Cava 101 No.,Uncategorized,Generic,,10,100,0.0,Active,0.0,
367.0,01-04-2025,Cefone EL-5031 12x18,141.0,Cefone EL-5031 12x18,Uncategorized,Generic,,10,100,0.0,Active,0.0,
368.0,01-04-2025,Cefone EL-5112 12x18,32.0,Cefone EL-5112 12x18,Uncategorized,Generic,,10,100,0.0,Active,0.0,
369.0,01-04-2025,Cefone EL-5238 12x18,3.0,Cefone EL-5238 12x18,Uncategorized,Generic,,10,100,0.0,Active,0.0,
370.0,01-04-2025,Cefone Plain White 12x18,180.0,Cefone Plain White 12x18,Uncategorized,Generic,,10,100,0.0,Active,0.0,
371.0,01-04-2025,Cefone White Mate 12x12,1.0,Cefone White Mate 12x12,Uncategorized,Generic,,10,100,0.0,Active,0.0,
372.0,01-04-2025,Chex Reon Black,24.0,Chex Reon Black,Uncategorized,Generic,,10,100,0.0,Active,0.0,
373.0,01-04-2025,CLASSIC CARRARA 2X4,66.0,CLASSIC CARRARA 2X4,Uncategorized,Generic,,10,100,0.0,Active,0.0,
374.0,01-04-2025,Cloud Exotic Choco,1.0,Cloud Exotic Choco,Uncategorized,Generic,,10,100,0.0,Active,0.0,
375.0,01-04-2025,Cloud Exotic Crema,5.0,Cloud Exotic Crema,Uncategorized,Generic,,10,100,0.0,Active,0.0,
376.0,01-04-2025,Coffee Dc,100.0,Coffee Dc,Uncategorized,Generic,,10,100,0.0,Active,0.0,
377.0,01-04-2025,COLBY PISTA -D.CHARGE- 24*24,1.0,COLBY PISTA -D.CHARGE- 24*24,Uncategorized,Generic,,10,100,0.0,Active,0.0,
378.0,01-04-2025,CORINTO BLUE 2X4,10.0,CORINTO BLUE 2X4,Uncategorized,Generic,,10,100,0.0,Active,0.0,
379.0,01-04-2025,COSMIC BLACK -PGVT- 24*48,37.0,COSMIC BLACK -PGVT- 24*48,Uncategorized,Generic,,10,100,0.0,Active,0.0,
380.0,01-04-2025,COYATE BROWN -PGVT- 24*48,8.0,COYATE BROWN -PGVT- 24*48,Uncategorized,Generic,,10,100,0.0,Active,0.0,
381.0,01-04-2025,COYATE NERO -PGVT- 24*48,22.0,COYATE NERO -PGVT- 24*48,Uncategorized,Generic,,10,100,0.0,Active,0.0,
382.0,01-04-2025,CRITICA SILVER 2X4,9.0,CRITICA SILVER 2X4,Uncategorized,Generic,,10,100,0.0,Active,0.0,
383.0,01-04-2025,CULCUTTA GOLD -PGVT- 24*24,45.0,CULCUTTA GOLD -PGVT- 24*24,Uncategorized,Generic,,10,100,0.0,Active,0.0,
384.0,01-04-2025,DESERT BIRCH AZUL PARK.TILES 16*16,29.0,DESERT BIRCH AZUL PARK.TILES 16*16,Uncategorized,Generic,,10,100,0.0,Active,0.0,
385.0,01-04-2025,DESERT BIRCH WHITE PARK.TILES 16*16,54.0,DESERT BIRCH WHITE PARK.TILES 16*16,Uncategorized,Generic,,10,100,0.0,Active,0.0,
386.0,01-04-2025,DESERT ROYAL BIANCO 16X16 PRE,35.0,DESERT ROYAL BIANCO 16X16 PRE,Uncategorized,Generic,,10,100,0.0,Active,0.0,
387.0,01-04-2025,Dimond Arden,24.0,Dimond Arden,Uncategorized,Generic,,10,100,0.0,Active,0.0,
388.0,01-04-2025,EL-100 MATE -WALL TILES- 12*18,96.0,EL-100 MATE -WALL TILES- 12*18,Uncategorized,Generic,,10,100,0.0,Active,0.0,
389.0,01-04-2025,EL-135 -WALL TILES- 12*18,75.0,EL-135 -WALL TILES- 12*18,Uncategorized,Generic,,10,100,0.0,Active,0.0,
390.0,01-04-2025,EL-34 -WALL TILES- 12*18,44.0,EL-34 -WALL TILES- 12*18,Uncategorized,Generic,,10,100,0.0,Active,0.0,
391.0,01-04-2025,EL-360 -WALL TILES- 12*18,9.0,EL-360 -WALL TILES- 12*18,Uncategorized,Generic,,10,100,0.0,Active,0.0,
392.0,01-04-2025,EL-8418 -WALL TILES- 12*18,3.0,EL-8418 -WALL TILES- 12*18,Uncategorized,Generic,,10,100,0.0,Active,0.0,
393.0,01-04-2025,EL-85 -WALL TILES- 12*18,12.0,EL-85 -WALL TILES- 12*18,Uncategorized,Generic,,10,100,0.0,Active,0.0,
394.0,01-04-2025,ELENZA BIANCO,49.0,ELENZA BIANCO,Uncategorized,Generic,,10,100,0.0,Active,0.0,
395.0,01-04-2025,ESSENCE ONYX 2X2 PRE,97.0,ESSENCE ONYX 2X2 PRE,Uncategorized,Generic,,10,100,0.0,Active,0.0,
396.0,01-04-2025,FANTA ORANGE WALL TILES 12*18,60.0,FANTA ORANGE WALL TILES 12*18,Uncategorized,Generic,,10,100,0.0,Active,0.0,
397.0,01-04-2025,FINE MARMOLA NATURAL,69.0,FINE MARMOLA NATURAL,Uncategorized,Generic,,10,100,0.0,Active,0.0,
398.0,01-04-2025,FIRE CRACKER 2X2 PRE,61.0,FIRE CRACKER 2X2 PRE,Uncategorized,Generic,,10,100,0.0,Active,0.0,
399.0,01-04-2025,FLORITA GREY -PGVT- 24*24 - PRE.,1.0,FLORITA GREY -PGVT- 24*24 - PRE.,Uncategorized,Generic,,10,100,0.0,Active,0.0,
400.0,01-04-2025,FROSTY BROWN - END 2X4,40.0,FROSTY BROWN - END 2X4,Uncategorized,Generic,,10,100,0.0,Active,0.0,
401.0,01-04-2025,FROSTY CREMA - END 2X4,52.0,FROSTY CREMA - END 2X4,Uncategorized,Generic,,10,100,0.0,Active,0.0,
402.0,01-04-2025,FROSTY SILVER END 2X4,23.0,FROSTY SILVER END 2X4,Uncategorized,Generic,,10,100,0.0,Active,0.0,
403.0,01-04-2025,Galaxy Black D,6.0,Galaxy Black D,Uncategorized,Generic,,10,100,0.0,Active,0.0,
404.0,01-04-2025,Galaxy Green-D 2x2 DC Pre,26.0,Galaxy Green-D 2x2 DC Pre,Uncategorized,Generic,,10,100,0.0,Active,0.0,
405.0,01-04-2025,Galaxy White 2x2 D.Charge STD,1.0,Galaxy White 2x2 D.Charge STD,Uncategorized,Generic,,10,100,0.0,Active,0.0,
406.0,01-04-2025,Gargiya Gold Pre,5.0,Gargiya Gold Pre,Uncategorized,Generic,,10,100,0.0,Active,0.0,
407.0,01-04-2025,GREEN,50.0,GREEN,Uncategorized,Generic,,10,100,0.0,Active,0.0,
408.0,01-04-2025,HD 50205,34.0,HD 50205,Uncategorized,Generic,,10,100,0.0,Active,0.0,
409.0,01-04-2025,HD-51703-517 12*18 HD SECOORA,79.0,HD-51703-517 12*18 HD SECOORA,Uncategorized,Generic,,10,100,0.0,Active,0.0,
410.0,01-04-2025,IMPERIAL ONYX -PGVT- 24*24 - PRE.,2.0,IMPERIAL ONYX -PGVT- 24*24 - PRE.,Uncategorized,Generic,,10,100,0.0,Active,0.0,
411.0,01-04-2025,"INFINITY BROWN-HG 2X4 PRE,",44.0,"INFINITY BROWN-HG 2X4 PRE,",Uncategorized,Generic,,10,100,0.0,Active,0.0,
412.0,01-04-2025,I Statuario 2x4 Gvt,13.0,I Statuario 2x4 Gvt,Uncategorized,Generic,,10,100,0.0,Active,0.0,
413.0,01-04-2025,ITTALIAN BROWN -PGVT- 24*24,3.0,ITTALIAN BROWN -PGVT- 24*24,Uncategorized,Generic,,10,100,0.0,Active,0.0,
414.0,01-04-2025,LAURENT BLUE -PGVT- 24*48,16.0,LAURENT BLUE -PGVT- 24*48,Uncategorized,Generic,,10,100,0.0,Active,0.0,
